SOURCE_ID;PAYMENT_METHOD_TYPE;TRANSACTION_TYPE;TRANSACTION_AMOUNT;TRANSACTION_DATE;FEE_AMOUNT;SETTLEMENT_DATE;REAL_AMOUNT;TAXES_AMOUNT;BUSINESS_UNIT;SUB_UNIT;MONEY_RELEASE_DATE
160971275661;available_money;SETTLEMENT;-24332.82;2026-05-30T18:28:56.000-04:00;0.00;2026-05-30T18:28:57.000-04:00;-24332.82;0.00;Mercado Pago;QR;2026-05-30T18:28:56.000-04:00
160959618719;available_money;SETTLEMENT;-18313.96;2026-05-30T17:20:47.000-04:00;0.00;2026-05-30T17:20:48.000-04:00;-18313.96;0.00;Mercado Pago;QR;2026-05-30T17:20:48.000-04:00
160925552593;available_money;SETTLEMENT;-25.00;2026-05-30T13:30:54.000-04:00;0.00;2026-05-30T13:30:54.000-04:00;-25.00;0.00;Mercado Pago;QR;2026-05-30T13:30:54.000-04:00
161716817148;available_money;SETTLEMENT;-1415.00;2026-05-30T13:30:12.000-04:00;0.00;2026-05-30T13:30:13.000-04:00;-1415.00;0.00;Mercado Pago;QR;2026-05-30T13:30:13.000-04:00
161683038656;available_money;SETTLEMENT;-101718.00;2026-05-30T10:14:33.000-04:00;0.00;2026-05-30T10:14:34.000-04:00;-101718.00;0.00;;;2026-05-30T10:14:34.000-04:00
160738989793;available_money;SETTLEMENT;-5478.00;2026-05-29T11:44:49.000-04:00;0.00;2026-05-29T11:44:50.000-04:00;-5478.00;0.00;Mercado Pago;Checkouts;2026-06-22T11:44:50.000-04:00
160702029439;available_money;SETTLEMENT;-5194.00;2026-05-29T07:21:03.000-04:00;0.00;2026-05-29T07:21:03.000-04:00;-5194.00;0.00;Mercado Pago;Checkouts;2026-06-22T07:21:03.000-04:00
1744466346341;;SETTLEMENT;263.50;2026-05-28T23:38:46.000-04:00;0.00;2026-05-28T23:38:46.000-04:00;263.50;0.00;;;
1744466346341;;SETTLEMENT;3.64;2026-05-28T23:38:46.000-04:00;0.00;2026-05-28T23:38:46.000-04:00;3.64;0.00;;;
1744466346341;;SETTLEMENT;2199.69;2026-05-28T23:38:46.000-04:00;0.00;2026-05-28T23:38:46.000-04:00;2199.69;0.00;;;
