TRANSACTION_DATE;SETTLEMENT_DATE;MONEY_RELEASE_DATE;SOURCE_ID;PAYMENT_METHOD_TYPE;TRANSACTION_TYPE;TRANSACTION_AMOUNT;BUSINESS_UNIT;SUB_UNIT;PAYMENT_METHOD;TAX_DETAIL;STORE_ID;PAY_BANK_TRANSFER_ID;USER_ID;TRANSACTION_CURRENCY
2026-02-28T16:25:12.000-04:00;2026-02-28T16:25:13.000-04:00;2026-02-28T16:25:12.000-04:00;148276074230;available_money;SETTLEMENT;-61.00;Mercado Pago;QR;available_money;;;;75592789;ARS
2026-02-28T16:23:18.000-04:00;2026-02-28T16:23:20.000-04:00;2026-02-28T16:23:19.000-04:00;147565356819;available_money;SETTLEMENT;-417.40;Mercado Pago;QR;available_money;;;;75592789;ARS
2026-02-28T16:21:38.000-04:00;2026-02-28T16:21:39.000-04:00;2026-02-28T16:21:39.000-04:00;147564986067;available_money;SETTLEMENT;-787.20;Mercado Pago;QR;available_money;;;;75592789;ARS
2026-02-28T16:17:05.000-04:00;2026-02-28T16:17:06.000-04:00;2026-02-28T16:17:06.000-04:00;147564387405;available_money;SETTLEMENT;-604.55;Mercado Pago;QR;available_money;;;;75592789;ARS
2026-02-26T08:23:05.000-04:00;2026-02-28T15:11:02.000-04:00;2026-02-28T15:11:02.000-04:00;147918804922;available_money;SETTLEMENT;-5080.00;;;available_money;;;;75592789;ARS
2026-02-28T12:09:48.000-04:00;2026-02-28T12:09:49.000-04:00;2026-02-28T12:09:48.000-04:00;147531608631;available_money;SETTLEMENT;-30000.00;;;available_money;;;;75592789;ARS
2026-02-28T12:07:22.000-04:00;2026-02-28T12:07:22.000-04:00;2026-02-28T12:07:22.000-04:00;147531136663;bank_transfer;SETTLEMENT;537779.18;;;cvu;;;122453413551;75592789;ARS
2026-02-27T00:17:18.000-04:00;2026-02-27T00:17:18.000-04:00;;1740367274037;;SETTLEMENT;1627.87;;;;;;;75592789;ARS
2026-02-26T20:48:37.000-04:00;2026-02-26T20:48:37.000-04:00;2026-02-26T20:48:37.000-04:00;148014444994;bank_transfer;SETTLEMENT;630000.00;;;cvu;;;122469801472;75592789;ARS
2026-02-26T07:51:38.000-04:00;2026-02-26T08:04:54.000-04:00;2026-02-26T10:21:29.000-04:00;147915668992;available_money;REFUND;9295.00;Mercado Pago;Checkouts;available_money;;;;75592789;ARS
2026-02-26T07:51:38.000-04:00;2026-02-26T07:51:39.000-04:00;2026-02-26T10:21:29.000-04:00;147915668992;available_money;SETTLEMENT;-9295.00;Mercado Pago;Checkouts;available_money;;;;75592789;ARS
2026-02-24T07:21:30.000-04:00;2026-02-26T02:55:03.000-04:00;2026-02-26T02:55:03.000-04:00;147546448300;available_money;SETTLEMENT;-4564.00;;;available_money;;;;75592789;ARS
2026-02-25T23:43:27.000-04:00;2026-02-25T23:43:27.000-04:00;;1740306805894;;SETTLEMENT;1724.10;;;;;;;75592789;ARS
2026-02-24T02:25:56.000-04:00;2026-02-25T19:16:23.000-04:00;2026-02-25T19:16:23.000-04:00;146826125717;available_money;SETTLEMENT;-4000.00;;;available_money;;;;75592789;ARS
2026-02-23T22:17:07.000-04:00;2026-02-25T12:30:03.000-04:00;2026-02-25T12:30:03.000-04:00;146813823635;available_money;SETTLEMENT;-16498.23;;;available_money;;;;75592789;ARS
2026-02-21T20:48:16.000-04:00;2026-02-25T09:52:25.000-04:00;2026-03-21T20:48:17.000-04:00;146564691873;credit_card;REFUND;116640.00;Mercado Libre;;master;;;;75592789;ARS
2026-02-25T07:36:58.000-04:00;2026-02-25T07:37:08.000-04:00;2026-03-12T15:55:15.000-04:00;146983439049;digital_currency;SETTLEMENT;102000.00;Mercado Libre;;consumer_credits;;;;75592789;ARS
2026-02-25T00:05:43.000-04:00;2026-02-25T00:05:43.000-04:00;;1740246685637;;SETTLEMENT;1912.06;;;;;;;75592789;ARS
2026-02-24T21:42:47.000-04:00;2026-02-24T21:42:50.000-04:00;2026-03-24T21:42:50.000-04:00;147652412940;credit_card;SETTLEMENT;-96093.11;Mercado Libre;;master;;;;75592789;ARS
2026-02-24T15:16:00.000-04:00;2026-02-24T15:16:01.000-04:00;2026-03-20T14:22:55.000-04:00;147603266682;available_money;SETTLEMENT;-6167.00;Mercado Pago;Checkouts;available_money;;;;75592789;ARS
2026-02-24T11:57:52.000-04:00;2026-02-24T11:57:53.000-04:00;2026-03-14T11:00:40.000-04:00;146877900363;available_money;SETTLEMENT;-13500.00;Mercado Pago;Checkout Pro;available_money;;;;75592789;ARS
2026-02-24T01:56:49.000-04:00;2026-02-24T01:56:50.000-04:00;2026-03-20T01:00:13.000-04:00;147527348636;available_money;SETTLEMENT;-3092.00;Mercado Pago;Checkouts;available_money;;;;75592789;ARS
2026-02-24T00:49:41.000-04:00;2026-02-24T00:49:42.000-04:00;2026-03-19T23:54:47.000-04:00;147524227560;available_money;SETTLEMENT;-4690.00;Mercado Pago;Checkouts;available_money;;;;75592789;ARS
2026-02-24T00:04:24.000-04:00;2026-02-24T00:04:24.000-04:00;;1740186039709;;SETTLEMENT;2435.04;;;;;;;75592789;ARS
2026-02-23T11:36:52.000-04:00;2026-02-23T11:36:53.000-04:00;2026-02-23T11:36:53.000-04:00;146735786005;available_money;SETTLEMENT;-72000.00;;;available_money;;;;75592789;ARS
2026-02-23T00:30:25.000-04:00;2026-02-23T00:30:25.000-04:00;;1740117974670;;SETTLEMENT;8321.58;;;;;;;75592789;ARS
2026-02-22T18:43:50.000-04:00;2026-02-22T18:44:00.000-04:00;2026-03-10T12:33:41.000-04:00;147354936728;available_money;SETTLEMENT;98000.00;Mercado Libre;;available_money;;;;75592789;ARS
2026-02-22T17:07:20.000-04:00;2026-02-22T17:07:20.000-04:00;2026-02-22T17:07:20.000-04:00;146644919321;available_money;SETTLEMENT;-9600.00;Mercado Pago;QR;available_money;;;;75592789;ARS
2026-02-21T15:13:06.000-04:00;2026-02-21T15:13:07.000-04:00;2026-02-21T15:13:07.000-04:00;147220212016;available_money;SETTLEMENT;-58986.00;;;available_money;;;;75592789;ARS
2026-02-21T15:12:08.000-04:00;2026-02-21T15:12:08.000-04:00;2026-02-21T15:12:08.000-04:00;146520091771;available_money;SETTLEMENT;-3240.00;;;available_money;;;;75592789;ARS
