compra,comercio,categoria,tarjeta,cuota_n,cuota_tot,monto,mes_cobro,anio_mes,estado
2025-05-12,DIEGOJULIANKOZ,Personal,VISA,1,9,84906,Mayo 2025,2025-05,PAGADO
2025-05-12,DIEGOJULIANKOZ,Personal,VISA,2,9,84906,Junio 2025,2025-06,PAGADO
2025-06-19,ELCACOSMETICOSINC,Personal,VISA,1,9,15054,Junio 2025,2025-06,PAGADO
2025-06-07,MONSERVO,Personal,MASTERCARD,1,9,6665,Junio 2025,2025-06,PAGADO
2025-07-27,3PRODUCTOS,Personal,VISA,1,9,5445,Julio 2025,2025-07,PAGADO
2025-05-12,DIEGOJULIANKOZ,Personal,VISA,3,9,84906,Julio 2025,2025-07,PAGADO
2025-06-19,ELCACOSMETICOSINC,Personal,VISA,2,9,15054,Julio 2025,2025-07,PAGADO
2025-06-07,MONSERVO,Personal,MASTERCARD,2,9,6665,Julio 2025,2025-07,PAGADO
2025-07-27,3PRODUCTOS,Personal,VISA,2,9,5445,Agosto 2025,2025-08,PAGADO
2025-05-12,DIEGOJULIANKOZ,Personal,VISA,4,9,84906,Agosto 2025,2025-08,PAGADO
2025-06-19,ELCACOSMETICOSINC,Personal,VISA,3,9,15054,Agosto 2025,2025-08,PAGADO
2025-08-21,JACKIESMITH,Personal,VISA,1,6,10970,Agosto 2025,2025-08,PAGADO
2025-08-26,MERCADOLIBRE,Mercado Libre,VISA,1,6,22460,Agosto 2025,2025-08,PAGADO
2025-06-07,MONSERVO,Personal,MASTERCARD,3,9,6665,Agosto 2025,2025-08,PAGADO
2025-07-27,3PRODUCTOS,Personal,VISA,3,9,5445,Septiembre 2025,2025-09,PAGADO
2025-09-12,4PRODUCTOS,Personal,VISA,1,6,13735,Septiembre 2025,2025-09,PAGADO
2025-09-18,BOSSRECOVERY,Personal,VISA,1,6,299834,Septiembre 2025,2025-09,PAGADO
2025-05-12,DIEGOJULIANKOZ,Personal,VISA,5,9,84906,Septiembre 2025,2025-09,PAGADO
2025-06-19,ELCACOSMETICOSINC,Personal,VISA,4,9,15054,Septiembre 2025,2025-09,PAGADO
2025-08-21,JACKIESMITH,Personal,VISA,2,6,10970,Septiembre 2025,2025-09,PAGADO
