fecha,opid,valor,monto_ceil,egreso,descripcion
2026-01-02,140342801856,-5620.32,5621,1,Pago Apple Reserva por gastos Juicio
2026-01-02,139694733147,-5000.00,5000,1,Reserva por gastos Juicio injusto
2026-01-02,1737986025748,5276.13,5277,0,Rendimientos
2026-01-02,140358011320,-5620.32,5621,1,Pago Apple Reserva por gastos Juicio
2026-01-02,139709880419,-5000.00,5000,1,Reserva por gastos Juicio injusto
2026-01-02,140403008790,-4005.00,4005,1,Pago Supermercados DIA
2026-01-02,140403520936,-8037.00,8037,1,Pago Carrefour
2026-01-02,140421191990,-50523.00,50523,1,Compra Mercado Libre
2026-01-02,139772945783,-232640.00,232640,1,Compra Mercado Libre Transferencia enviada Maria
2026-01-02,139782176749,-1152000.00,1152000,1,Transferencia enviada Maria Sanes Transferencia recibida SANES
2026-01-02,140431734942,900000.00,900000,0,Sanes Transferencia recibida SANES MARIA SOLE
2026-01-02,140456128572,-17602.05,17603,1,Pago Supermercados DIA
2026-01-02,140456362894,-98626.83,98627,1,"Pago Tarjeta de crédito Pago con QR RECAUDACION,"
2026-01-03,140554973946,-21500.00,21500,1,"Pago con QR RECAUDACION, GESTION Y PAGOS SA"
2026-01-03,140568304440,-3623.85,3624,1,Pago Supermercados DIA Transferencia enviada Susana
2026-01-04,139974499547,-7100.00,7100,1,Transferencia enviada Susana Carmen Ortiz Transferencia enviada Susana
2026-01-04,140624208158,-84051.00,84051,1,Carmen Ortiz Transferencia enviada Susana Carmen Ortiz Reserva por gastos Juicio
2026-01-04,139973887415,-5000.00,5000,1,Carmen Ortiz Reserva por gastos Juicio injusto Reserva por gastos Juicio
2026-01-04,140624166482,-5000.00,5000,1,injusto Reserva por gastos Juicio injusto Transferencia enviada Susana
2026-01-04,140624419004,-43572.00,43572,1,injusto Transferencia enviada Susana Carmen Ortiz Transferencia enviada Susana
2026-01-04,140624519322,-18600.00,18600,1,Carmen Ortiz Transferencia enviada Susana Carmen Ortiz Reserva por gastos Juicio
2026-01-04,139974518941,-5000.00,5000,1,Carmen Ortiz Reserva por gastos Juicio injusto Reserva por gastos Juicio
2026-01-04,139975254303,-5000.00,5000,1,injusto Reserva por gastos Juicio injusto
2026-01-04,139976905169,-4850.00,4850,1,Pago GUSMAR HNOS SRL Reserva por gastos Juicio
2026-01-04,139975855963,-5000.00,5000,1,Reserva por gastos Juicio injusto
2026-01-04,140631016624,-8180.00,8180,1,Transferencia enviada Noelia Soledad Caballero Britez Reserva por gastos Juicio
2026-01-04,140630311522,-5000.00,5000,1,Soledad Caballero Britez Reserva por gastos Juicio injusto
2026-01-05,1738038302018,3196.20,3197,0,Rendimientos Transferencia recibida
2026-01-05,140082358631,2000000.00,2000000,0,Transferencia recibida VENTURA CHRISTIAN Transferencia recibida MarIa
2026-01-05,140085050227,3753241.14,3753242,0,VENTURA CHRISTIAN Transferencia recibida MarIa Sanes Transferencia enviada
2026-01-05,140735415064,-5291593.00,5291593,1,Sanes Transferencia enviada Fideicomiso Ava Palpa
2026-01-05,140788754244,-15091.06,15092,1,Pago DIA Online
2026-01-05,140804180536,-45.75,46,1,Pago Shell
2026-01-05,140153422911,-196.95,197,1,Pago Shell
2026-01-06,1738106422419,974.59,975,0,Rendimientos Compra de Fotoprotector Isdin Fotoultra Age Repair
2026-01-06,140208712679,-43388.36,43389,1,Compra de Fotoprotector Isdin Fotoultra Age Repair Color Spf 50- X50ml Mercado Lib... Pago de cuota Créditos de
2026-01-06,140860070566,-819945.24,819946,1,Color Spf 50- X50ml Mercado Lib... Pago de cuota Créditos de Mercado Pago Pago COPETIN CATERING S.R.
2026-01-06,140892575178,-645.00,645,1,Mercado Pago Pago COPETIN CATERING S.R. L.
2026-01-07,1738167120121,451.45,452,0,Rendimientos
2026-01-07,140372591671,-238240.00,238240,1,Transferencia enviada Consorcio De Propiet Transferencia enviada
2026-01-07,140374102253,-35260.00,35260,1,Consorcio De Propiet Transferencia enviada Consorcio De Propiet Reserva por gastos Juicio
2026-01-07,140373547057,-5000.00,5000,1,Consorcio De Propiet Reserva por gastos Juicio injusto Reserva por gastos Juicio
2026-01-07,141026587474,-5000.00,5000,1,injusto Reserva por gastos Juicio injusto
2026-01-07,140442003223,-12434.16,12435,1,Pago de servicio AGIP
2026-01-08,1738226700311,270.81,271,0,Rendimientos Pago COPETIN CATERING S.R.
2026-01-08,141163331734,-3585.00,3585,1,Pago COPETIN CATERING S.R. L.
2026-01-08,140541817161,-12426.00,12426,1,Pago Andres Javier Di Pasqua
2026-01-08,140559479547,-29545.74,29546,1,Pago Selma Salvatori
2026-01-08,141239408624,-55010.25,55011,1,Pago PedidosYa Reserva por gastos Juicio
2026-01-08,140580271903,-5000.00,5000,1,Reserva por gastos Juicio injusto
