plan,edad_sol,valor_nominal,valor_por_ano,precio_otorgamiento,pago_2027,pago_2028,pago_2029,pago_2030,pago_2031,pago_2032,pago_2033,pago_2034,pago_2035,pago_2036,pago_2037
LTRP 2022,41,30000,5000,1391.81,5670,5924,,,,,,,,,
LTRP 2023,42,30000,5000,888.69,7465,7862,8291,,,,,,,,
LTRP 2024,43,30000,5000,1426.11,5594,5842,6109,6398,,,,,,,
LTRP 2025,44,36822,6137,1944.47,5854,6077,6317,6577,6858,,,,,,
LTRP 2026,45,70000,11666.67,2094.65,10749,11142,11567,12026,12521,13056,,,,,
LTRP 2027,46,70000,11666.67,,,11666,11666,11666,11666,11666,11666,,,,
LTRP 2028,47,70000,11666.67,,,,11666,11666,11666,11666,11666,11666,,,
LTRP 2029,47,70000,11666.67,,,,,11666,11666,11666,11666,11666,11666,,
LTRP 2030,48,70000,11666.67,,,,,,11666,11666,11666,11666,11666,11666,
LTRP 2031,48,70000,11666.67,,,,,,,11666,11666,11666,11666,11666,11666
LTRP 2032,49,70000,11666.67,,,,,,,,11666,11666,11666,11666,11666
LTRP 2033,49,70000,11666.67,,,,,,,,,11666,11666,11666,11666
LTRP 2034,50,70000,11666.67,,,,,,,,,,11666,11666,11666
LTRP 2035,50,70000,11666.67,,,,,,,,,,,11666,11666
LTRP 2036,51,70000,11666.67,,,,,,,,,,,,11666
