anio_pago,fecha_pago,planes_activos,tramo_fijo_usd,tramo_variable_base_usd,total_base_factor_1_usd,estimado_portal_usd,factor_meli_implicito_variable,ultima_actualizacion,notas
2023,2023-01-31,1,2500.00,2500.00,5000.00,,,,"Solo LTRP 2022 (1/6)"
2024,2024-01-31,2,5000.00,5000.00,10000.00,,,,"LTRP 2022+2023"
2025,2025-01-31,3,7500.00,7500.00,15000.00,,,,"LTRP 2022+2023+2024"
2026,2026-01-31,4,10568.50,10568.50,21137.00,,,,"LTRP 2022..2025"
2027,2027-01-31,5,16401.83,16401.83,32803.67,35332,1.1542,2026-08,"Regla: máx 6 planes · ene-2027 = 1/6·2026+2025+2024+2023+2022 · portal 35.332"
2028,2028-01-31,5,16401.83,16401.83,32803.67,,,,"LTRP 2022 (último) + 2023..2026; sin LTRP 2027 aún"
2029,2029-01-31,4,13901.83,13901.83,27803.67,,,,"Sin LTRP 2022; LTRP 2023 (último) + 2024..2026"
2030,2030-01-31,3,11401.83,11401.83,22803.67,,,,"LTRP 2024 (último) + 2025 + 2026"
2031,2031-01-31,2,8901.83,8901.83,17803.67,,,,"LTRP 2025 (último) + 2026"
2032,2032-01-31,1,5833.33,5833.33,11666.67,,,,"Solo LTRP 2026 (último 6/6)"
